source_location,target_location
POINT EMPTY,POINT (41.2299786 43.1500226)
POINT (-73.96727182919946 40.750214150000005),POINT (-83.1137366 32.3293809)
POINT (-73.96727182919946 40.750214150000005),POINT (41.2299786 43.1500226)
POINT (-73.96727182919946 40.750214150000005),POINT EMPTY
POINT (-73.96727182919946 40.750214150000005),POINT (97.7453061 64.6863136)
POINT (-83.1137366 32.3293809),POINT (41.2299786 43.1500226)
POINT (-83.1137366 32.3293809),POINT EMPTY
POINT (-83.1137366 32.3293809),POINT (97.7453061 64.6863136)
POINT (41.2299786 43.1500226),POINT EMPTY
POINT (41.2299786 43.1500226),POINT (97.7453061 64.6863136)
POINT EMPTY,POINT (97.7453061 64.6863136)
POINT (-100.445882 39.7837304),POINT (34.297199599416956 0.18047615)
POINT (-100.445882 39.7837304),POINT (-3.2765753 54.7023545)
POINT (-100.445882 39.7837304),POINT (7.764579287532104 48.5362087)
POINT (-100.445882 39.7837304),POINT (10.4478313 51.1638175)
POINT (-100.445882 39.7837304),POINT (1.8883335 46.603354)
POINT (-100.445882 39.7837304),POINT (97.7453061 64.6863136)
POINT (-100.445882 39.7837304),POINT (41.2299786 43.1500226)
POINT (-100.445882 39.7837304),POINT (-83.1137366 32.3293809)
POINT (-100.445882 39.7837304),POINT (-73.96727182919946 40.750214150000005)
POINT (34.297199599416956 0.18047615),POINT (-3.2765753 54.7023545)
POINT (34.297199599416956 0.18047615),POINT (7.764579287532104 48.5362087)
POINT (34.297199599416956 0.18047615),POINT (10.4478313 51.1638175)
POINT (34.297199599416956 0.18047615),POINT (1.8883335 46.603354)
POINT (34.297199599416956 0.18047615),POINT (97.7453061 64.6863136)
POINT (34.297199599416956 0.18047615),POINT (41.2299786 43.1500226)
POINT (34.297199599416956 0.18047615),POINT (-83.1137366 32.3293809)
POINT (34.297199599416956 0.18047615),POINT (-73.96727182919946 40.750214150000005)
POINT (-3.2765753 54.7023545),POINT (7.764579287532104 48.5362087)
POINT (-3.2765753 54.7023545),POINT (10.4478313 51.1638175)
POINT (-3.2765753 54.7023545),POINT (1.8883335 46.603354)
POINT (-3.2765753 54.7023545),POINT (97.7453061 64.6863136)
POINT (-3.2765753 54.7023545),POINT (41.2299786 43.1500226)
POINT (-3.2765753 54.7023545),POINT (-83.1137366 32.3293809)
POINT (-3.2765753 54.7023545),POINT (-73.96727182919946 40.750214150000005)
POINT (7.764579287532104 48.5362087),POINT (10.4478313 51.1638175)
POINT (7.764579287532104 48.5362087),POINT (1.8883335 46.603354)
POINT (7.764579287532104 48.5362087),POINT (97.7453061 64.6863136)
POINT (7.764579287532104 48.5362087),POINT (41.2299786 43.1500226)
POINT (7.764579287532104 48.5362087),POINT (-83.1137366 32.3293809)
POINT (7.764579287532104 48.5362087),POINT (-73.96727182919946 40.750214150000005)
POINT (10.4478313 51.1638175),POINT (1.8883335 46.603354)
POINT (10.4478313 51.1638175),POINT (97.7453061 64.6863136)
POINT (10.4478313 51.1638175),POINT (41.2299786 43.1500226)
POINT (10.4478313 51.1638175),POINT (-83.1137366 32.3293809)
POINT (10.4478313 51.1638175),POINT (-73.96727182919946 40.750214150000005)
POINT (1.8883335 46.603354),POINT (97.7453061 64.6863136)
POINT (1.8883335 46.603354),POINT (41.2299786 43.1500226)
POINT (1.8883335 46.603354),POINT (-83.1137366 32.3293809)
POINT (1.8883335 46.603354),POINT (-73.96727182919946 40.750214150000005)
POINT (97.7453061 64.6863136),POINT (41.2299786 43.1500226)
POINT (97.7453061 64.6863136),POINT (-83.1137366 32.3293809)
POINT (97.7453061 64.6863136),POINT (-73.96727182919946 40.750214150000005)
POINT (41.2299786 43.1500226),POINT (-83.1137366 32.3293809)
POINT (41.2299786 43.1500226),POINT (-73.96727182919946 40.750214150000005)
POINT (-83.1137366 32.3293809),POINT (-73.96727182919946 40.750214150000005)
POINT (-77.7813836 42.0881244),POINT (63.9528098 41.32373)
POINT (-77.7813836 42.0881244),POINT (74.724091 41.5089324)
POINT (-77.7813836 42.0881244),POINT (31.2718321 49.4871968)
POINT (-77.7813836 42.0881244),POINT (66.7780818 48.1012954)
